title,content,language,keywords,category
"Establishing al Jabal al Akhdhar Reserve Eng 

 17 Aug 2011 

 Nature Conversation (إنشاء محمية الجبل الأخضر 

17 أغسطس 2011

صون الطبيعة)","



    Establishment of the Green Mountain Landscape Reserve 12 Jul 2020

Royal Decree No. 80/2011
Establishing the Green Mountain Scenic Reserve
We, Qaboos bin Said, Sultan of Oman,
Having perused the Basic Statute of the State, promulgated by Royal Decree No. 101/96, and the Law on Nature Reserves and Wildlife Conservation, promulgated by Royal Decree No. 6/2003, and in consideration of the public interest,
We have decreed the following:
Article 1
A natural reserve shall be established under the name of the Green Mountain Scenic Reserve, and the area defined by its dimensions in the attached annex and map shall be allocated to it.
Article 2
The Minister of Environment and Climate Affairs shall issue the regulations and decisions implementing this decree in coordination with the relevant ministries and authorities, provided that they include the method of managing the reserve, the rules regulating entry thereto, the prescribed fees for that, the times of presence therein, the works permitted to be practiced, and those that are prohibited from being practiced, and the appropriate penalties in each case.
Article 3
This decree shall be published in the Official Gazette, and shall come into force from the day following the date of its publication.
Issued on: 17 Ramadan 1432 AH
Corresponding to 17 August 2011 AD
Qaboos bin Said
Sultan of Oman",English," Royal Decree 80/2011, Green Mountain Scenic Reserve, Qaboos bin Said, Sultan of Oman, Basic Statute of the State, Law on Nature Reserves and Wildlife Conservation, Official Gazette, 17 Ramadan 1432 AH, 17 August 2011 AD, Minister of Environment and Climate Affairs","Omani Law, Environmental Law, Nature Reserves, Royal Decrees, Green Mountain"
"Amends the name of the Arabian Oryx Sanctuary
17 Aug 2011
Nature Conversation (تعديل مسمى محمية المها
17 أغسطس 2011
صون الطبيعة)","Amends the name of the Arabian Oryx Sanctuary 17 Aug 2011

Royal Decree No. 79/2011
Amending the name of the Arabian Oryx Sanctuary to the Wildlife Sanctuary in the Central Region
We, Qaboos bin Said, Sultan of Oman,
Having perused the Basic Statute of the State, promulgated by Royal Decree No. 101/96, and Royal Decree No. 4/94 regarding the Arabian Oryx Sanctuary, and the Law on Environmental Protection and Pollution Control, promulgated by Royal Decree No. 114/2001, and the Law on Nature Reserves and Wildlife Conservation, promulgated by Royal Decree No. 6/2003, and based on the public interest,
We have decreed the following:
Article 1
The name Arabian Oryx Sanctuary shall be amended to Wildlife Sanctuary in the Central Region, wherever it appears in Royal Decree No. 4/94 referred to and the annex attached thereto.
Article 2
This decree shall be published in the Official Gazette and shall come into force from the day following the date of its publication.
Issued on 17 Ramadan 1432 AH
Corresponding to 17 August 2011 AD
Qaboos bin Said
Sultan of Oman",English,"Royal Decree, 79/2011, Arabian Oryx Sanctuary, Wildlife Sanctuary, Central Region, Qaboos bin Said, Sultan of Oman, Basic Statute of the State, Law on Environmental Protection and Pollution Control, Law on Nature Reserves and Wildlife Conservation, Official Gazette, 17 August 2011, Legal Amendment, Public Interest, Royal Decree 101/96, Royal Decree 4/94, Royal Decree 114/2001, Royal Decree 6/2003","Omani Law, Environmental Law, Wildlife Conservation, Legal Amendments"
"Amends the name of the Arabian Oryx Sanctuary
17 Aug 2011
Nature Conversation (تعديل مسمى محمية المها
17 أغسطس 2011
صون الطبيعة)","Issued on 5 Dhu al-Hijjah 1416 AH
Corresponding to 23 April 1996 AD
Official Gazette: Issue No. 573
Appendix for Determining the Dimensions of the Turtle Reserve",English,"5 Dhu al-Hijjah 1416 AH, 23 April 1996 AD, Official Gazette, Issue No. 573, Turtle Reserve, Historical Context, Appendix","Omani Law, Environmental Law, Wildlife Conservation, Protected Areas"
"Amends the name of the Arabian Oryx Sanctuary
17 Aug 2011
Nature Conversation (تعديل مسمى محمية المها
17 أغسطس 2011
صون الطبيعة)","The dimensions of the Turtle Reserve referred to are defined according to the following coordinates:
North West 59 degrees 41 minutes East 23 degrees 52 minutes North
North East 59 degrees 48 minutes East 23 degrees 52 minutes North
East 59 degrees 51 minutes East 23 degrees 25 minutes North
South East 59 degrees 48 minutes East 23 degrees 13 minutes North
South 59 degrees 45 minutes East 22 degrees 11 minutes North
West 59 degrees 48 minutes East 22 degrees 19 minutes North
The total area of the reserve is 120 one hundred and twenty square kilometers. Official Gazette: Issue No. 573",English,"Turtle Reserve, Coordinates, Dimensions, North West, North East, East, South East, South, West, Degrees, Minutes, Area, 120 square kilometers, Official Gazette, Issue No. 573, Latitude, Longitude"," Omani Law, Environmental Law, Wildlife Conservation, Protected Areas, Geographic Data"
"Handling chemicals
18 Sep 1995
Environment Affair
(التعامل مع المواد الكيميائية

18 سبتمبر 1995

شؤون البيئة","Handling chemicals 18 Sep 1995
Environment Affair
Sultani Decree No. 95/46
Issuing the Regulation on the Circulation and Use of Chemicals
We, Qaboos bin Saeed, Sultan of Oman,
After reviewing Royal Decree No. 75/26 issuing the Law Organizing the Administrative Apparatus of the State and its amendments,
And Royal Decree No. 77/82 regarding the use and circulation of explosives in the Sultanate and its amendments,
And Royal Decree No. 82/10 issuing the Law on Environmental Protection and Pollution Control and its amendments,
And Royal Decree No. 91/76 issuing the Civil Defense Law,
And based on the public interest.
We have drawn the following:
Article One
The provisions of the attached Regulation on the Circulation and Use of Chemicals shall be enforced.
Article Two
The Minister of Regional Municipalities and Environment shall issue the necessary regulations and decisions to implement this regulation.
Article Three
Government and non-government agencies and individuals who are subject to the provisions of this regulation shall comply with correcting their conditions in accordance with its provisions, within a period not exceeding one year from the date of its entry into force, and the Minister of Regional Municipalities and Environment may extend this period for a period not exceeding another year if necessity so requires.
Article Four
Anything that contravenes this decree or conflicts with its provisions shall be repealed.
Article Five
This decree shall be published in the Official Gazette, and shall come into force from the date of its publication.
Issued on: 22 Rabi’ al-Akhir 1416 AH
Corresponding to September 18, 1995 AD
Qaboos bin Saeed
Sultan of Oman",English,"Sultani Decree, 95/46, Qaboos bin Saeed, Sultan of Oman, Circulation and Use of Chemicals, Environmental Protection, Royal Decree 75/26, Royal Decree 77/82, Royal Decree 82/10, Royal Decree 91/76, Official Gazette, 18 Sep 1995, Regional Municipalities and Environment","Omani Law, Environmental Law, Chemical Safety, Regulatory Decrees"
"Handling chemicals
18 Sep 1995
Environment Affair
(التعامل مع المواد الكيميائية

18 سبتمبر 1995

شؤون البيئة","Regulation on the Circulation and Use of Chemicals
Article 1
In applying the provisions of this regulation, the following words and terms shall have the meanings indicated next to each of them, unless there is a special text to the contrary or the context requires otherwise:
The System:
Regulation on the Circulation and Use of Chemicals.
The Minister:
Minister of Regional Municipalities and Environment.
The Ministry:
Ministry of Regional Municipalities and Environment.
The concerned authority:
Any governmental body that has the authority to supervise or license the conduct of activities that use chemicals.
The Committee:
The Standing Committee for Chemicals.
The Department:
Department of Chemicals at the Ministry of Regional Municipalities and Environment.
The user:
Any natural or legal person who has obtained a permit from the department to trade in hazardous chemicals or to use them.
Chemical substance:
Any substance that is classified as a hazardous substance according to international classifications of hazardous substances that have an impact on public health and the environment, with the exception of explosives specified in the aforementioned Royal Decree regarding the use and circulation of explosives.
Data card:
Any written, printed, or drawn information attached to the chemical containers, indicating its composition, properties, and how to use it.
Licensed place:
Any place registered with the department for keeping or storing chemicals for the purpose of distribution, circulation, manufacturing, unloading, diluting, mixing, or preparing chemicals.
The inspector:
The employee appointed by the Minister who is authorized to enter licensed places and inspect records to ensure the proper implementation of the system, regulations, and decisions issued in implementation of its provisions, and to record any violations that occur.
Article 2
The manufacture, import, export, transport, storage, circulation, and use of any chemicals shall be in accordance with the provisions of this regulation and the regulations and decisions issued in implementation thereof.
Article 3
A decision by the Minister shall form the Standing Committee for Chemicals, headed by the Undersecretary of the Ministry for Environmental Affairs, and include members of the rank of Director General from the Royal Oman Police and from each of the Ministries of Regional Municipalities and Environment, Defense, Agriculture and Fisheries, Health, Oil and Minerals, Trade and Industry, Water Resources, Sultan Qaboos University, and any other body determined by the Minister.
Article 4
The committee is concerned with the following:
A - Preparing draft regulations and decisions necessary to implement this regulation in accordance with what is in force in the Sultanate and international systems, and following up on their implementation.
B - Setting procedures and conditions for the manufacture, import, export, transport, storage, circulation, and use of chemicals and the disposal of their waste, in coordination with the concerned authorities.
C - Investigating and stopping the user from practicing his activity in manufacturing, importing, exporting, transporting, storing, circulating, or using any chemicals to avoid a serious danger that threatens public health or the environment, based on a recommendation from the department, and the department shall notify the user of the suspension decision and the reasons for it. It shall also notify the concerned authority thereof.
The user may appeal this decision to the Minister within fifteen days from the date of his written notification, and submitting the grievance does not result in stopping the implementation of the contested decision, and the grievance is decided within a maximum period of thirty days from the date of its submission, and the Minister’s decision is final.
Article 5
The committee shall meet at the invitation of its chairman at least once every six months and whenever the need arises.
The committee meeting shall not be valid unless two-thirds of the members are present, and the committee may seek assistance from whomever it deems appropriate, and invite him to attend its meetings without having a countable vote.",English,"Regulation on the Circulation and Use of Chemicals, Definitions, The System, The Minister, The Ministry, The concerned authority, The Committee, The Department, The user, Chemical substance, Data card, Licensed place, The inspector, Standing Committee for Chemicals, Responsibilities, Meetings"," Omani Law, Environmental Regulations, Chemical Safety, Regulatory Definitions, Standing Committee for Chemicals"
"Handling chemicals
18 Sep 1995
Environment Affair
(التعامل مع المواد الكيميائية

18 سبتمبر 1995

شؤون البيئة","Article 6
A chemicals department shall be established in the ministry with the following specializations:
A - Implementing ministerial regulations and decisions issued in implementation of the provisions of this regulation.
B - Conducting the necessary tests for chemicals to determine their degree of toxicity and the extent of their danger.
C - Granting the necessary permits to use, manufacture, import, export, or trade in hazardous chemicals in accordance with the procedures stipulated in the regulations and decisions issued in implementation of this regulation, before the issuance of the license from the concerned authorities, and without prejudice to the powers of the competent government agencies in determining the type of chemical used.
D - Granting research centers, scientific and educational institutions, and laboratories permits for the experimental use of any hazardous chemicals for scientific research purposes.
E - Counting and registering hazardous chemicals and their users, collecting information and data related to them, and amending or canceling the registration so that the concerned authorities are allowed to control and inspect them.
F - Classifying chemicals according to local and international classifications.
G - Communicating and coordinating locally and internationally to exchange information and decisions related to the circulation of chemicals.
H - Establishing a chemical information bank.
I - Providing technical advice to government and private agencies regarding chemicals.
J - Setting guidelines and rules for training workers in the field of chemicals, and spreading the necessary awareness for the proper use of chemicals.
K - Verifying, through inspectors, that legal requirements are met, monitoring records of chemicals at their locations, and recording any violations of the provisions of this regulation and the regulations and implementing decisions.
L - Submitting a periodic report to the committee on the department’s activity and lists of the names of registered users and those authorized to deal with hazardous chemicals or any updates it deems to be presented to the committee.
M - Preparing the agenda for the committee’s sessions, preparing for its meetings, following up on the implementation of its decisions, and coordinating between it and other parties.
Article 7
The Minister shall issue decisions specifying the fees to be collected in implementation of this regulation, in coordination with the Ministry of Finance and Economy.
Article 8
A license must be obtained to transport or store any hazardous chemicals from the General Directorate of Civil Defense at the Royal Oman Police, in accordance with the regulations issued by it.
Article 9
It is not permissible to import, export, transport, store, or circulate any chemicals unless they are packed in special containers according to the approved and recognized specifications in the Sultanate.
Article 10
Government and non-government agencies must provide the department with any information available to it, especially about the hazardous chemicals they use.
Article 11
The user of hazardous chemicals is obligated to dispose of their waste, empty containers, and any violating materials at his expense and under the supervision of the ministry, in accordance with the regulations in force in this regard.
Article 12
The user of hazardous chemicals is obligated to do the following:
A - Take the necessary precautions to protect workers from health damage and work hazards, provide them with complete personal protection equipment, educate them, and train them on the best way to deal with and confront the risks of chemicals in accordance with the regulations issued in this regard.
B - Prepare records proving the names of people, chemicals, their quantities, numbers, their degree of danger, how to deal with them, and submit them to the department’s employees whenever requested to do so.
Article 13
Without prejudice to any more severe penalty stipulated in another law, anyone who violates the provisions of this regulation or the regulations or decisions issued in implementation thereof shall be punished by imprisonment for a period not exceeding three years and a fine not exceeding five thousand Omani Rials, or one of these two penalties, and the chemical substance subject of the violation shall be confiscated, and the penalty shall be doubled when the violation is repeated.",English," Chemicals Department, Specializations, Toxicity Tests, Permits, Hazardous Chemicals, Research Centers, Registration, Classification, Information Exchange, Chemical Information Bank, Technical Advice, Training, Inspection, Periodic Report, Fees, Licensing, Transport, Storage, Packaging, Waste Disposal, Worker Protection, Record Keeping, Penalties, Violations","Omani Law, Environmental Regulations, Chemical Safety, Chemicals Department, Licensing, User Obligations, Penalties"
"Establishment of the Daymaniyat Islands Nature Reserve

03 April 1996

Nature Conservation (إنشاء محمية جزر الديمانيات الطبيعية
03 أبريل 1996
صون الطبيعة)","
Royal Decree No. 23/96
Establishing the Daymaniyat Islands Nature Reserve
We, Qaboos bin Said, Sultan of Oman,
In accordance with Royal Decree No. 26/75 issuing the Law Organizing the Administrative Apparatus of the State and its amendments,
And with Royal Decree No. 26/97 issuing the Law on National Parks and Protected Natural Sites and its amendments,
And with Royal Decree No. 10/82 issuing the Law on Environmental Protection and Pollution Control and its amendments,
And based on the public interest,
We have ordered the following:
Article 1: The area specified by the dimensions in the attached appendix and map is designated as a protected natural site under the name Daymaniyat Islands Nature Reserve.
Article 2: The Minister of Regional Municipalities and Environment shall issue the regulations and decisions necessary to implement this decree, in coordination with the relevant ministries and authorities, provided that they include rules regulating entry to the reserve, the prescribed fees for this, the times of presence there, the activities permitted to be practiced, and those prohibited from being practiced, and appropriate penalties in each case.
Article 3: This decree shall be published in the Official Gazette and shall come into force from the date of its publication.
Qaboos bin Said
Sultan of Oman
Issued on the 14th of Dhul Qidah 1416 AH
Corresponding to the 3rd of April 1996 AD
Official Gazette No. 573",English," Royal Decree 23/96, Daymaniyat Islands Nature Reserve, Qaboos bin Said, Sultan of Oman, Law Organizing the Administrative Apparatus, Law on National Parks and Protected Natural Sites, Law on Environmental Protection and Pollution Control, Official Gazette, 14th of Dhul Qidah 1416 AH, 3rd of April 1996 AD","Omani Law, Environmental Law, Nature Reserves, Royal Decrees, Daymaniyat Islands"
"Establishment of the Daymaniyat Islands Nature Reserve

03 April 1996

Nature Conservation (إنشاء محمية جزر الديمانيات الطبيعية
03 أبريل 1996
صون الطبيعة)","
Appendix Specifying the Dimensions of the Daymaniyat Islands Nature Reserve
The dimensions of the Daymaniyat Islands Nature Reserve referred to are determined according to the following coordinates:
Northwest 57 degrees 55 minutes east 23 degrees 52 minutes north
Northeast 58 degrees 12 minutes east 23 degrees 52 minutes north
Southwest 57 degrees 55 minutes east 23 degrees 48 minutes north
Southeast 58 degrees 12 minutes east 23 degrees 48 minutes north
The total area of the reserve is 203 two hundred and three square kilometers
Official Gazette No. 573",English," Daymaniyat Islands Nature Reserve, Dimensions, Coordinates, Northwest, Northeast, Southwest, Southeast, Degrees, Minutes, East, North, Area, 203 square kilometers, Official Gazette No. 573","Omani Law, Environmental Law, Nature Reserves, Daymaniyat Islands, Geographic Coordinates, Area"
